index,score
"(6094, '12154')",0.005043427
"(6094, '50009')",0.01771068
"(6094, '24198')",0.010177311
"(6094, '39205')",0.027041575
"(6094, '1271')",0.187461749
"(6094, '36572')",0.009582136
"(6094, '4844')",0.007453246
"(6094, '8233')",0.01039722
"(6094, '29000')",0.009043504
"(6094, '18906')",0.009064112
"(6094, '41811')",0.007374986
"(6094, '22426')",0.008221972
"(6094, '7138')",0.009642145
"(6094, '15487')",0.006122761
"(6094, '21089')",0.006399387
"(6094, '31005')",0.005918701
"(6094, '13650')",0.184740305
"(6094, '5106')",0.006861434
"(6094, '8339')",0.004848337
"(6094, '32006')",0.008992179
"(6094, '31986')",0.006809024
"(6094, '50010')",0.07029549
"(6094, '13907')",0.007282143
"(6094, '30141')",0.118289627
"(6094, '39466')",0.166706771
"(6094, '39709')",0.010742112
"(6094, '32948')",0.088456936
"(6094, '31576')",0.009486636
"(6094, '28772')",0.008907321
"(6094, '3868')",0.009340261
"(6094, '34314')",0.025935622
"(6094, '34084')",0.178714722
"(6094, '18432')",0.007317308
"(6094, '17842')",0.010022092
"(6094, '2335')",0.00755022
"(6094, '19680')",0.006733256
"(6094, '25165')",0.029413622
"(6094, '50011')",0.01771068
"(6094, '10958')",0.006578116
"(6094, '5310')",0.008423104
"(6094, '43483')",0.018973386
"(6094, '35995')",0.005622325
"(6094, '13115')",0.008641134
"(6094, '20542')",0.008417363
"(6094, '35217')",0.005670489
"(6094, '39899')",0.007711415
"(6094, '41106')",0.008269802
"(6094, '11202')",0.008246999
"(6094, '3194')",0.007913111
"(6094, '19802')",0.008094841
"(6094, '41075')",0.03518194
"(6094, '21755')",0.006154944
"(6094, '35351')",0.008944057
"(6094, '1492')",0.006202565
"(6094, '11470')",0.096378222
"(6094, '12084')",0.017628165
"(6094, '41077')",0.196962073
"(6094, '21787')",0.006962321
"(6094, '14843')",0.064492643
"(6094, '14294')",0.027636159
"(6094, '40697')",0.010977191
"(6094, '30770')",0.135584697
"(6094, '9606')",0.206034079
"(6094, '15497')",0.279744118
"(6094, '33047')",0.034484543
"(6094, '26916')",0.009008335
"(6094, '18175')",0.050545078
"(6094, '35044')",0.005932762
"(6094, '41078')",0.262984931
"(6094, '37854')",0.073729955
"(6094, '40092')",0.006180167
"(6094, '4061')",0.28294155
"(6094, '789')",0.020432629
"(6394, '39897')",0.625803769
"(6394, '37642')",0.019692518
"(6394, '17150')",0.008288399
"(6394, '38635')",0.00635138
"(6394, '3948')",0.627244473
"(6394, '18396')",0.007557409
"(6394, '37156')",0.006986108
"(6394, '23916')",0.618835032
"(6394, '10362')",0.005235525
"(6394, '28838')",0.628272891
"(6394, '2801')",0.007370694
"(6394, '28723')",0.007061354
"(6394, '28184')",0.007900935
"(6394, '9661')",0.00784257
"(6394, '586')",0.007194517
"(6394, '34435')",0.443793863
"(6394, '15427')",0.006462415
"(6394, '3586')",0.009688505
"(6394, '6175')",0.586174488
"(6394, '9432')",0.615935028
"(6394, '27239')",0.006599771
"(6394, '26042')",0.008375573
"(6394, '7092')",0.005429965
"(6394, '23035')",0.006367301
"(6394, '14676')",0.615372956
"(6394, '30799')",0.59695524
"(6394, '10395')",0.006581666
"(6394, '7655')",0.010029793
"(6394, '17197')",0.008257798
"(6394, '24766')",0.628995717
"(6394, '20203')",0.012655575
"(6394, '33954')",0.006118427
"(6394, '32785')",0.624345183
"(6394, '40887')",0.006515961
"(6394, '40377')",0.262562484
"(6394, '19636')",0.0068845
"(6394, '41250')",0.583777726
"(6394, '26952')",0.008961594
"(6394, '23882')",0.007711733
"(6394, '4453')",0.007278075
"(6394, '23315')",0.006763178
"(6394, '32691')",0.007577855
"(6394, '41907')",0.009692838
"(6394, '29727')",0.006892771
"(6394, '30910')",0.005646436
"(6394, '25542')",0.007485791
"(6394, '40795')",0.027501205
"(6394, '11577')",0.008437877
"(6394, '4875')",0.621764004
"(6394, '4374')",0.624053001
"(6394, '10947')",0.005531877
"(6394, '17774')",0.019664405
"(6394, '28764')",0.006934713
"(6394, '22625')",0.005715096
"(6394, '38153')",0.006952728
"(6394, '37226')",0.625912786
"(6394, '22761')",0.008876204
"(6394, '7406')",0.005694891
"(6394, '8853')",0.007302716
"(6394, '28074')",0.007641595
"(6394, '26050')",0.007366579
"(6394, '20774')",0.006223699
"(6394, '11817')",0.627343893
"(6394, '12057')",0.611118615
"(6394, '26510')",0.005264422
"(6394, '12633')",0.020674601
"(6394, '3157')",0.592950284
"(6394, '26570')",0.007110392
"(6394, '22257')",0.625131726
"(6394, '31826')",0.007536548
"(6394, '41822')",0.007218882
"(6394, '37832')",0.007393692
"(6394, '27454')",0.015780302
"(6394, '39240')",0.620114744
"(6394, '11178')",0.544270277
"(6394, '26154')",0.01086296
"(6394, '30313')",0.007988583
"(6394, '38262')",0.00747651
"(6394, '32871')",0.006573634
"(6394, '37541')",0.007378094
"(6394, '26785')",0.61622417
"(6394, '1539')",0.020540917
"(6394, '7140')",0.010805062
"(6394, '409')",0.005564967
"(6394, '4197')",0.623259485
"(6394, '42585')",0.007541218
"(6394, '23526')",0.008255319
"(6394, '4484')",0.007484119
"(6394, '6110')",0.621600091
"(6394, '29497')",0.007803434
"(6394, '7657')",0.015676042
"(6394, '5653')",0.598660171
"(6394, '11717')",0.612923145
"(6394, '17801')",0.007104557
"(6394, '6732')",0.010007276
"(6394, '14605')",0.618194103
"(6394, '9129')",0.006016822
"(6394, '14983')",0.005612428
"(6394, '4604')",0.074882902
"(6394, '24164')",0.5768013
"(2143, '17312')",0.009674784
"(2143, '7100')",0.010508073
"(2143, '38976')",0.009494799
"(2143, '43379')",0.015908826
"(2143, '24566')",0.013086214
"(2143, '17661')",0.008274833
"(2143, '2059')",0.013231834
"(2143, '26102')",0.008980097
"(2143, '30930')",0.013791629
"(2143, '17620')",0.017249728
"(2143, '9110')",0.015674694
"(2143, '40441')",0.009920483
"(2143, '11462')",0.008096086
"(2143, '15901')",0.006776135
"(2143, '21305')",0.014452254
"(2143, '34754')",0.012934859
"(2143, '13626')",0.010076837
"(2143, '26125')",0.086369596
"(2143, '35890')",0.017054804
"(2143, '39880')",0.008136176
"(2143, '37077')",0.010113002
"(2143, '41918')",0.009805877
"(2143, '22777')",0.028224144
"(2143, '13147')",0.017690087
"(2143, '23162')",0.011039237
"(2143, '37971')",0.008124363
"(2143, '24048')",0.006774999
"(2143, '29535')",0.007685458
"(2143, '43649')",0.036784407
"(2143, '17076')",0.010863968
"(2143, '9875')",0.010205262
"(2143, '41929')",0.01519084
"(2143, '21282')",0.010521509
"(2143, '6156')",0.01303485
"(2143, '8214')",0.007686459
"(2143, '15068')",0.008143006
"(2143, '28066')",0.007575115
"(2143, '28959')",0.007599318
"(2143, '42645')",0.129351035
"(2143, '31717')",0.00915821
"(2143, '11759')",0.012443682
"(2143, '10254')",0.006996811
"(2143, '15344')",0.012273774
"(2143, '6585')",0.006500078
"(2143, '32392')",0.010236091
"(2143, '7592')",0.11561884
"(2143, '11642')",0.222491562
"(2143, '5248')",0.005405587
"(2143, '34030')",0.011635784
"(2143, '2572')",0.019729426
"(2143, '28470')",0.006837003
"(2143, '43076')",0.015537221
"(2143, '39827')",0.015605966
"(2143, '42644')",0.04451644
"(2143, '27265')",0.009967813
"(2143, '32407')",0.013545969
"(2143, '7891')",0.289227247
"(2143, '311')",0.008241549
"(2143, '1228')",0.008100873
"(2143, '10349')",0.02206213
"(2143, '6426')",0.011740173
"(2143, '14314')",0.190951392
"(2143, '19929')",0.010460322
"(2143, '40399')",0.006995328
"(2143, '43587')",0.018193763
"(2143, '31465')",0.015869576
"(2143, '18320')",0.015522487
"(2143, '1388')",0.010633827
"(2143, '6029')",0.00760868
"(2143, '14955')",0.048477411
"(2143, '38548')",0.03873213
"(2143, '18408')",0.009392008
"(2143, '6700')",0.006994036
"(2143, '6466')",0.013724856
"(2143, '929')",0.136987031
"(2143, '35137')",0.009297561
"(2143, '8111')",0.013767685
"(2143, '22905')",0.008820588
"(2143, '18505')",0.008047346
"(2143, '30537')",0.017401515
"(2143, '21220')",0.012571742
"(2143, '32293')",0.014994085
"(2143, '35020')",0.010638499
"(2143, '376')",0.197738931
"(2143, '26516')",0.018175868
"(2143, '4487')",0.006923823
"(2143, '40157')",0.25070253
"(2143, '4421')",0.012948783
"(2143, '39328')",0.008765657
"(2143, '6683')",0.009933201
"(2143, '16685')",0.010236653
"(2143, '34093')",0.010033623
"(2143, '42234')",0.006936338
"(2143, '41416')",0.525222957
"(2143, '2374')",0.006760315
"(2143, '31637')",0.023027582
"(2143, '11079')",0.048960563
"(2143, '12420')",0.024792032
"(2143, '25497')",0.010493799
"(2143, '21257')",0.034242108
"(1355, '32011')",0.009650782
"(1355, '32096')",0.064002872
"(1355, '37759')",0.008004217
"(1355, '37125')",0.0072635
"(1355, '40432')",0.008114555
"(1355, '25453')",0.009632315
"(1355, '27482')",0.008817178
"(1355, '41754')",0.007804435
"(1355, '18880')",0.006481627
"(1355, '1467')",0.008126142
"(1355, '202')",0.008613373
"(1355, '8262')",0.006716681
"(1355, '25735')",0.005707006
"(1355, '36109')",0.010983544
"(1355, '41480')",0.032341383
"(1355, '41481')",0.025647817
"(1355, '38414')",0.009005565
"(1355, '16241')",0.007820024
"(1355, '12862')",0.006369332
"(1355, '34376')",0.009758947
"(1355, '1604')",0.006072685
"(1355, '28188')",0.007979279
"(1355, '15876')",0.005686354
"(1355, '29628')",0.007462289
"(1355, '38347')",0.019811915
"(1355, '22522')",0.011519942
"(1355, '36401')",0.008536902
"(1355, '6687')",0.007745686
"(1355, '17577')",0.007350425
"(1355, '7897')",0.007115463
"(1355, '40337')",0.006040616
"(1355, '5738')",0.007625838
"(1355, '448')",0.007370446
"(1355, '6963')",0.005663975
"(1355, '42976')",0.013980464
"(1355, '37589')",0.00814207
"(1355, '9466')",0.007314641
"(1355, '28436')",0.008901447
"(1355, '35018')",0.006445241
"(1355, '28069')",0.00906517
"(1355, '15496')",0.007077561
"(1355, '14735')",0.007745566
"(1355, '42627')",0.006560422
"(1355, '10158')",0.008475227
"(1355, '4881')",0.00782274
"(1355, '8377')",0.008279148
"(1355, '21132')",0.007121793
"(1355, '50004')",0.014142425
"(1355, '7142')",0.024407167
"(1355, '4875')",0.024908628
"(1355, '19812')",0.006527995
"(1355, '10766')",0.006020893
"(1355, '13512')",0.005451138
"(1355, '35862')",0.011105768
"(1355, '42697')",0.006111759
"(1355, '30435')",0.005608805
"(1355, '33862')",0.008939045
"(1355, '28049')",0.009291775
"(1355, '16713')",0.008335952
"(1355, '15605')",0.014127621
"(1355, '5055')",0.009350394
"(1355, '29486')",0.006387298
"(1355, '3826')",0.006398744
"(1355, '42967')",0.009140524
"(1355, '18001')",0.011222084
"(1355, '5894')",0.008496681
"(1355, '13051')",0.008772074
"(1355, '39259')",0.090480022
"(1355, '3881')",0.012041055
"(1355, '5987')",0.052321978
"(1355, '50005')",0.009962906
"(1355, '23198')",0.00784497
"(1355, '30681')",0.009258159
"(1355, '27259')",0.007182214
"(1355, '18333')",0.008956864
"(1355, '25513')",0.009506753
"(1355, '19315')",0.00610719
"(1355, '23238')",0.007773858
"(1355, '14367')",0.008789064
"(1355, '13923')",0.007031747
"(1355, '6033')",0.00721782
"(1355, '30339')",0.009162811
"(1355, '39694')",0.008561883
"(1355, '28646')",0.00994288
"(1355, '35167')",0.008345303
"(1355, '13524')",0.010333983
"(1355, '12809')",0.008195542
"(1355, '41482')",0.026499802
"(1355, '34146')",0.009015651
"(1355, '37160')",0.018819207
"(1355, '20536')",0.00692578
"(1355, '28170')",0.00740158
"(1355, '4649')",0.017726576
"(1355, '32888')",0.026434537
"(1355, '1120')",0.062194001
"(1355, '28303')",0.00857329
"(1355, '9883')",0.007328417
"(1355, '18116')",0.006382177
"(1355, '27147')",0.007221569
"(1355, '40321')",0.006384563
"(1355, '11024')",0.008229659
"(1355, '7420')",0.007196434
"(6905, '37169')",0.011777482
"(6905, '34679')",0.007367827
"(6905, '21342')",0.58987993
"(6905, '6961')",0.006541877
"(6905, '41018')",0.560492873
"(6905, '17974')",0.560297132
"(6905, '40959')",0.57367897
"(6905, '33097')",0.010770139
"(6905, '34643')",0.00847437
"(6905, '2915')",0.019146778
"(6905, '27644')",0.007872617
"(6905, '11945')",0.007639961
"(6905, '6651')",0.006815224
"(6905, '6846')",0.007491968
"(6905, '40642')",0.009230121
"(6905, '32886')",0.013222916
"(6905, '35745')",0.012718888
"(6905, '11147')",0.570237696
"(6905, '8728')",0.574672401
"(6905, '12658')",0.007657475
"(6905, '9477')",0.009486663
"(6905, '14073')",0.006972853
"(6905, '32401')",0.556708872
"(6905, '30654')",0.59774816
"(6905, '19941')",0.58864969
"(6905, '5007')",0.571927965
"(6905, '16823')",0.596155286
"(6905, '40036')",0.042865802
"(6905, '13175')",0.578852177
"(6905, '6105')",0.012196759
"(6905, '40230')",0.006955781
"(6905, '20420')",0.007634395
"(6905, '34102')",0.009536636
"(6905, '9439')",0.598553956
"(6905, '10046')",0.567785084
"(6905, '15976')",0.569448471
"(6905, '2307')",0.005720835
"(6905, '644')",0.01327104
"(6905, '6090')",0.013848995
"(6905, '24597')",0.564047992
"(6905, '37466')",0.007356463
"(6905, '30410')",0.54545331
"(6905, '12671')",0.007484958
"(6905, '33823')",0.006828522
"(6905, '36187')",0.5922786
"(6905, '15121')",0.006725862
"(6905, '7136')",0.562461257
"(6905, '30128')",0.047915556
"(6905, '33217')",0.006143797
"(6905, '7609')",0.012095673
"(6905, '28307')",0.009104469
"(6905, '35259')",0.011832245
"(6905, '19997')",0.007421829
"(6905, '15190')",0.008176344
"(6905, '33336')",0.012504194
"(6905, '10337')",0.007509607
"(6905, '39678')",0.587870121
"(6905, '30030')",0.010483134
"(6905, '28249')",0.007472779
"(6905, '41017')",0.563906312
"(6905, '42104')",0.010969071
"(6905, '14476')",0.008752496
"(6905, '5181')",0.590111196
"(6905, '34923')",0.008295301
"(6905, '38458')",0.00792875
"(6905, '21195')",0.007958
"(6905, '14569')",0.589567184
"(6905, '11135')",0.008666632
"(6905, '25141')",0.58986634
"(6905, '7962')",0.574870169
"(6905, '4908')",0.01319432
"(6905, '21128')",0.008043929
"(6905, '21230')",0.007625734
"(6905, '26984')",0.010325843
"(6905, '987')",0.007465822
"(6905, '26852')",0.006791829
"(6905, '29134')",0.007955478
"(6905, '33367')",0.592225492
"(6905, '20112')",0.011134918
"(6905, '12712')",0.589819551
"(6905, '23655')",0.007857937
"(6905, '22246')",0.009825015
"(6905, '12571')",0.011079494
"(6905, '25714')",0.007773936
"(6905, '13877')",0.57473731
"(6905, '43619')",0.011369788
"(6905, '6887')",0.007724606
"(6905, '19256')",0.006717912
"(6905, '36361')",0.549306154
"(6905, '14637')",0.008116589
"(6905, '29091')",0.010439356
"(6905, '34997')",0.587823629
"(6905, '12329')",0.589570284
"(6905, '19024')",0.006610361
"(6905, '5349')",0.009624271
"(6905, '14542')",0.595319331
"(6905, '33910')",0.007887244
"(6905, '7484')",0.010518182
"(6905, '28042')",0.005988568
"(6905, '23336')",0.009365127
"(3952, '28279')",0.007106528
"(3952, '519')",0.006764309
"(3952, '26914')",0.008317051
"(3952, '22455')",0.010592604
"(3952, '10860')",0.011650123
"(3952, '41248')",0.012762679
"(3952, '10351')",0.00676463
"(3952, '24909')",0.00601713
"(3952, '41590')",0.010090834
"(3952, '6308')",0.00904242
"(3952, '36277')",0.017559322
"(3952, '2120')",0.006560886
"(3952, '40503')",0.028322991
"(3952, '29972')",0.007492299
"(3952, '23607')",0.007256431
"(3952, '13017')",0.007714324
"(3952, '36960')",0.006940971
"(3952, '36556')",0.009995992
"(3952, '3676')",0.007163027
"(3952, '3542')",0.007138144
"(3952, '40088')",0.008478298
"(3952, '12211')",0.009965342
"(3952, '19316')",0.005591508
"(3952, '5405')",0.007211259
"(3952, '20130')",0.012013258
"(3952, '41170')",0.012672896
"(3952, '34586')",0.008205308
"(3952, '30722')",0.024996476
"(3952, '33632')",0.013847042
"(3952, '31694')",0.006583903
"(3952, '41035')",0.007514179
"(3952, '23117')",0.030525273
"(3952, '23479')",0.057644725
"(3952, '22154')",0.00763647
"(3952, '1234')",0.008027866
"(3952, '1332')",0.007311076
"(3952, '7335')",0.007775293
"(3952, '7218')",0.007601519
"(3952, '34840')",0.007914091
"(3952, '8957')",0.018213432
"(3952, '22889')",0.008463319
"(3952, '18746')",0.005681585
"(3952, '37463')",0.011382611
"(3952, '7332')",0.010939025
"(3952, '16005')",0.008206771
"(3952, '36939')",0.006709209
"(3952, '19238')",0.009275117
"(3952, '1080')",0.008391032
"(3952, '35694')",0.008032705
"(3952, '14831')",0.023306323
"(3952, '5777')",0.006810772
"(3952, '656')",0.006198783
"(3952, '35539')",0.006460092
"(3952, '40109')",0.007149972
"(3952, '11439')",0.006860603
"(3952, '2335')",0.012988983
"(3952, '17190')",0.038062755
"(3952, '35244')",0.009829652
"(3952, '14878')",0.010488041
"(3952, '35720')",0.016158216
"(3952, '38447')",0.007170898
"(3952, '14566')",0.007312585
"(3952, '35181')",0.013285765
"(3952, '38980')",0.012786264
"(3952, '4013')",0.009038447
"(3952, '41236')",0.006467214
"(3952, '12621')",0.006456139
"(3952, '2143')",0.006479343
"(3952, '8333')",0.013724753
"(3952, '1971')",0.006579273
"(3952, '23687')",0.034420982
"(3952, '36920')",0.011913494
"(3952, '28833')",0.022542231
"(3952, '29037')",0.007259096
"(3952, '21203')",0.007588336
"(3952, '498')",0.007178608
"(3952, '23210')",0.009111255
"(3952, '8200')",0.008891482
"(3952, '6441')",0.011849943
"(3952, '30797')",0.008530438
"(3952, '2136')",0.007368601
"(3952, '18978')",0.480340779
"(3952, '17666')",0.007068078
"(3952, '39055')",0.010655646
"(3952, '3720')",0.00931168
"(3952, '9502')",0.007121607
"(3952, '18971')",0.005675029
"(3952, '14766')",0.008091265
"(3952, '41591')",0.011970411
"(3952, '11339')",0.011878269
"(3952, '15821')",0.005589043
"(3952, '41454')",0.010512243
"(3952, '34120')",0.008337167
"(3952, '21388')",0.007145718
"(3952, '23292')",0.009098964
"(3952, '40865')",0.008791802
"(3952, '38883')",0.007041419
"(3952, '26386')",0.007501998
"(3952, '43370')",0.006330037
"(3952, '1000')",0.007215046
"(4873, '36961')",0.005255089
"(4873, '24324')",0.012275422
"(4873, '39975')",0.009004658
"(4873, '25316')",0.009300228
"(4873, '18338')",0.00586864
"(4873, '26839')",0.005176397
"(4873, '34153')",0.030637782
"(4873, '14451')",0.006640628
"(4873, '14001')",0.006154986
"(4873, '2137')",0.007852745
"(4873, '9108')",0.008544634
"(4873, '36109')",0.035827067
"(4873, '40665')",0.00737551
"(4873, '4269')",0.005228194
"(4873, '7567')",0.008777934
"(4873, '24594')",0.006777823
"(4873, '2400')",0.006850318
"(4873, '12489')",0.006858719
"(4873, '15924')",0.006301191
"(4873, '40036')",0.025201838
"(4873, '19686')",0.007456178
"(4873, '11648')",0.011596794
"(4873, '26027')",0.021434411
"(4873, '27917')",0.009935453
"(4873, '9249')",0.006007589
"(4873, '25588')",0.013917421
"(4873, '27268')",0.006346101
"(4873, '15868')",0.006349969
"(4873, '18544')",0.006695958
"(4873, '1842')",0.062111653
"(4873, '33736')",0.095032156
"(4873, '8190')",0.006874183
"(4873, '15136')",0.007525043
"(4873, '7569')",0.005937547
"(4873, '11094')",0.005600437
"(4873, '3698')",0.004794186
"(4873, '15474')",0.011231611
"(4873, '1648')",0.006378074
"(4873, '21181')",0.00593809
"(4873, '34839')",0.008844471
"(4873, '98')",0.00602139
"(4873, '23428')",0.007051828
"(4873, '1219')",0.017137982
"(4873, '14127')",0.007813682
"(4873, '10728')",0.006291163
"(4873, '29807')",0.007423235
"(4873, '762')",0.006147262
"(4873, '7592')",0.007750351
"(4873, '11924')",0.011626034
"(4873, '40542')",0.006140138
"(4873, '11389')",0.007996252
"(4873, '41145')",0.016095858
"(4873, '35535')",0.005655831
"(4873, '16789')",0.00865275
"(4873, '4698')",0.005951647
"(4873, '35238')",0.007587066
"(4873, '16646')",0.006331348
"(4873, '11196')",0.006665858
"(4873, '24367')",0.008240801
"(4873, '18270')",0.008420165
"(4873, '5583')",0.006150861
"(4873, '27909')",0.007268225
"(4873, '21140')",0.01868506
"(4873, '15794')",0.006408535
"(4873, '26050')",0.007040813
"(4873, '32476')",0.005764423
"(4873, '29788')",0.010435259
"(4873, '32918')",0.006836247
"(4873, '18262')",0.006870682
"(4873, '35918')",0.027878275
"(4873, '11551')",0.007926944
